,Region,Month,HCHO reading,Proximity(km)
304,Nuwara Eliya Proper,2019-05,0.00011558253643822727,101.0
305,Nuwara Eliya Proper,2019-06,8.046757852476211e-05,101.0
306,Nuwara Eliya Proper,2019-07,0.0001127366194018402,101.0
307,Nuwara Eliya Proper,2019-08,4.926201423688376e-05,101.0
308,Nuwara Eliya Proper,2019-09,7.403253162176993e-05,101.0
309,Nuwara Eliya Proper,2019-10,6.327766375255017e-05,101.0
310,Nuwara Eliya Proper,2019-11,0.00010521522355732397,101.0
311,Nuwara Eliya Proper,2019-12,6.271395642750628e-05,101.0
312,Nuwara Eliya Proper,2020-01,7.495671743224227e-05,101.0
313,Nuwara Eliya Proper,2020-02,0.00010902957525701645,101.0
314,Nuwara Eliya Proper,2020-03,0.00013273731990615225,101.0
315,Nuwara Eliya Proper,2020-04,8.949239593356732e-05,101.0
316,Nuwara Eliya Proper,2020-05,8.362598407813536e-05,101.0
317,Nuwara Eliya Proper,2020-06,7.663553941367323e-05,101.0
318,Nuwara Eliya Proper,2020-07,7.635895550950269e-05,101.0
319,Nuwara Eliya Proper,2020-08,7.097595610933686e-05,101.0
320,Nuwara Eliya Proper,2020-09,7.184553630440376e-05,101.0
321,Nuwara Eliya Proper,2020-10,4.5196567673986146e-05,101.0
322,Nuwara Eliya Proper,2020-11,8.00114893624367e-05,101.0
323,Nuwara Eliya Proper,2020-12,7.042793796847059e-05,101.0
324,Nuwara Eliya Proper,2021-01,0.0001087129330163848,101.0
325,Nuwara Eliya Proper,2021-02,0.0001137939021348169,101.0
326,Nuwara Eliya Proper,2021-03,7.903635523673199e-05,101.0
327,Nuwara Eliya Proper,2021-04,0.00012084717696680117,101.0
328,Nuwara Eliya Proper,2021-05,9.744657859178878e-05,101.0
329,Nuwara Eliya Proper,2021-06,7.77740783625869e-05,101.0
330,Nuwara Eliya Proper,2021-07,6.539432068376995e-05,101.0
331,Nuwara Eliya Proper,2021-08,5.168793973178165e-05,101.0
332,Nuwara Eliya Proper,2021-09,3.851586793617641e-05,101.0
333,Nuwara Eliya Proper,2021-10,6.291751675511376e-05,101.0
334,Nuwara Eliya Proper,2021-11,7.713179534438953e-05,101.0
335,Nuwara Eliya Proper,2021-12,7.678637663997745e-05,101.0
