"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-31","0.00",",,S","88","H,,S","101",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-01","0.00",",,S","90","H,,S","99",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-02","0.00",",,S","90","H,,S","98",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-03","0.00",",,S","87","H,,S","99",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-04","0.00",",,S","88","H,,S",,,"74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-05","0.00",",,S","91","H,,S","98",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-07","0.00",",,S","87","H,,S","98",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-08","0.19",",,S","86","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-09","0.00",",,S","87","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-10","0.51",",,S","89","H,,S","99",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-11","0.06",",,S","86","H,,S","95",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-12","0.55",",,S","92","H,,S","99",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-13","0.14",",,S","90","H,,S","97",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-14","0.01",",,S","87","H,,S","97",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-15","0.00",",,S","85","H,,S","96",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-16","0.08",",,S","83","H,,S","96",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-17","0.09",",,S","82","H,,S","94",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-18","0.11",",,S","83","H,,S",,,"73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-21","0.11",",,S","87","H,,S","94",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-22","1.51",",,S","85","H,,S",,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-24","0.00",",,S","87","H,,S","95",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-25","0.00",",,S","83","H,,S",,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-28","0.00",",,S","87","H,,S","94",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-29","0.12",",,S","85","H,,S","90",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-30","0.00",",,S","80","H,,S","89",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-01","0.11",",,S","85","H,,S",,,"74",",,S"
