Region,Current Date,Next Date,HCHO reading,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status,Month
Colombo Proper,2019-06-26,2019-06-27,-1.718882776913233e-05,0,0,Before,Before,6
Colombo Proper,2019-06-27,2019-06-28,0.0001242156863718,0,0,Before,Before,6
Colombo Proper,2019-06-28,2019-06-29,8.171133330754701e-05,0,0,Before,Before,6
Colombo Proper,2019-06-29,2019-06-30,7.340520263976472e-05,0,0,Before,Before,6
Colombo Proper,2019-06-30,2019-07-01,2.0964513707570187e-05,0,0,Before,Before,6
Colombo Proper,2019-07-01,2019-07-02,8.969739342465703e-05,0,0,Before,Before,7
Colombo Proper,2019-07-02,2019-07-03,8.080856806689084e-05,0,0,Before,Before,7
Colombo Proper,2019-07-03,2019-07-04,2.889810298407616e-05,0,0,Before,Before,7
Colombo Proper,2019-07-04,2019-07-05,8.317285235618187e-05,0,0,Before,Before,7
Colombo Proper,2019-07-05,2019-07-06,9.39126919104318e-05,0,0,Before,Before,7
Colombo Proper,2019-07-06,2019-07-07,9.547040684925105e-06,0,0,Before,Before,7
Colombo Proper,2019-07-07,2019-07-08,9.452725531817138e-07,0,0,Before,Before,7
Colombo Proper,2019-07-08,2019-07-09,0.0001606779140439,0,0,Before,Before,7
Colombo Proper,2019-07-09,2019-07-10,6.542320608565538e-05,0,0,Before,Before,7
Colombo Proper,2019-07-10,2019-07-11,5.047959159020286e-05,0,0,Before,Before,7
Colombo Proper,2019-07-11,2019-07-12,6.685329661024943e-05,0,0,Before,Before,7
Colombo Proper,2019-07-12,2019-07-13,0.0001352754338604,0,0,Before,Before,7
Colombo Proper,2019-07-13,2019-07-14,7.062975822380987e-05,0,0,Before,Before,7
Colombo Proper,2019-07-14,2019-07-15,8.284630173158682e-05,0,0,Before,Before,7
Colombo Proper,2019-07-15,2019-07-16,0.0001033215590261,0,0,Before,Before,7
Colombo Proper,2019-07-16,2019-07-17,9.32507996651824e-05,0,0,Before,Before,7
Colombo Proper,2019-07-17,2019-07-18,8.646478043150869e-05,0,0,Before,Before,7
Colombo Proper,2019-07-18,2019-07-19,9.845984337861064e-05,0,0,Before,Before,7
Colombo Proper,2019-07-19,2019-07-20,0.0001142631167627,0,0,Before,Before,7
Colombo Proper,2019-07-20,2019-07-21,9.77121531808704e-05,0,0,Before,Before,7
Colombo Proper,2019-07-21,2019-07-22,0.0001328017366567,0,0,Before,Before,7
Colombo Proper,2019-07-22,2019-07-23,0.0001079215631675,0,0,Before,Before,7
Colombo Proper,2019-07-23,2019-07-24,-1.0360142278733146e-05,0,0,Before,Before,7
Colombo Proper,2019-07-24,2019-07-25,5.20387301457421e-05,0,0,Before,Before,7
Colombo Proper,2019-07-25,2019-07-26,0.0001644546205319,0,0,Before,Before,7
Colombo Proper,2019-07-26,2019-07-27,0.0001707607001308,0,0,Before,Before,7
Colombo Proper,2019-07-27,2019-07-28,0.0001185044673927,0,0,Before,Before,7
Colombo Proper,2019-07-28,2019-07-29,0.0001041769215942,0,0,Before,Before,7
Colombo Proper,2019-07-29,2019-07-30,0.0001754362061189,0,0,Before,Before,7
Colombo Proper,2019-07-30,2019-07-31,4.6955253049504447e-05,0,0,Before,Before,7
Colombo Proper,2019-07-31,2019-08-01,9.259486707748456e-05,0,0,Before,Before,7
Colombo Proper,2019-08-01,2019-08-02,4.458029389653336e-05,0,0,Before,Before,8
Colombo Proper,2019-08-02,2019-08-03,0.0001075726727514,0,0,Before,Before,8
Colombo Proper,2019-08-03,2019-08-04,6.93505158442184e-05,0,0,Before,Before,8
Colombo Proper,2019-08-04,2019-08-05,-2.350630165773713e-05,0,0,Before,Before,8
Colombo Proper,2019-08-05,2019-08-06,4.396326486663663e-06,0,0,Before,Before,8
Colombo Proper,2019-08-06,2019-08-07,5.951792946298224e-05,0,0,Before,Before,8
Colombo Proper,2019-08-07,2019-08-08,0.0002358972517484,0,0,Before,Before,8
Colombo Proper,2019-08-08,2019-08-09,6.503933596351012e-05,0,0,Before,Before,8
Colombo Proper,2019-08-09,2019-08-10,-3.753132753502911e-05,0,0,Before,Before,8
Colombo Proper,2019-08-10,2019-08-11,5.135406572491637e-05,0,0,Before,Before,8
Colombo Proper,2019-08-11,2019-08-12,0.0001621829232794,0,0,Before,Before,8
Colombo Proper,2019-08-12,2019-08-13,8.489262068848337e-05,0,0,Before,Before,8
Colombo Proper,2019-08-13,2019-08-14,0.0001050166942389,0,0,Before,Before,8
Colombo Proper,2019-08-14,2019-08-15,5.860973694382833e-05,0,0,Before,Before,8
Colombo Proper,2019-08-15,2019-08-16,0.0001350586133809,0,0,Before,Before,8
Colombo Proper,2019-08-16,2019-08-17,7.957998651727483e-05,0,0,Before,Before,8
Colombo Proper,2019-08-17,2019-08-18,0.0001685731549514,0,0,Before,Before,8
Colombo Proper,2019-08-18,2019-08-19,3.706723761402327e-05,0,0,Before,Before,8
Colombo Proper,2019-08-19,2019-08-20,8.584961620742005e-05,0,0,Before,Before,8
Colombo Proper,2019-08-20,2019-08-21,8.793838791530453e-05,0,0,Before,Before,8
Colombo Proper,2019-08-21,2019-08-22,8.479952216441172e-05,0,0,Before,Before,8
Colombo Proper,2019-08-22,2019-08-23,9.98810887055766e-05,0,0,Before,Before,8
Colombo Proper,2019-08-23,2019-08-24,9.284558377051192e-05,0,0,Before,Before,8
Colombo Proper,2019-08-24,2019-08-25,0.0001512307072603,0,0,Before,Before,8
Colombo Proper,2019-08-25,2019-08-26,2.8320877798642062e-05,0,0,Before,Before,8
Colombo Proper,2019-08-26,2019-08-27,8.76278222692157e-05,0,0,Before,Before,8
