,country,date,new,total,lockdown_status
92,Sri Lanka,2020-04-23,38,368,Lockdown
93,Sri Lanka,2020-04-24,52,420,Lockdown
94,Sri Lanka,2020-04-25,40,460,Lockdown
95,Sri Lanka,2020-04-26,63,523,Lockdown
96,Sri Lanka,2020-04-27,65,588,Lockdown
97,Sri Lanka,2020-04-28,31,619,Lockdown
98,Sri Lanka,2020-04-29,30,649,Lockdown
99,Sri Lanka,2020-04-30,14,663,Lockdown
100,Sri Lanka,2020-05-01,27,690,Lockdown
101,Sri Lanka,2020-05-02,15,705,Lockdown
102,Sri Lanka,2020-05-03,13,718,Lockdown
103,Sri Lanka,2020-05-04,33,751,Lockdown
104,Sri Lanka,2020-05-05,20,771,Lockdown
105,Sri Lanka,2020-05-06,26,797,Lockdown
106,Sri Lanka,2020-05-07,27,824,Lockdown
107,Sri Lanka,2020-05-08,11,835,Lockdown
108,Sri Lanka,2020-05-09,12,847,Lockdown
109,Sri Lanka,2020-05-10,16,863,Lockdown
110,Sri Lanka,2020-05-11,6,869,Lockdown
111,Sri Lanka,2020-05-12,20,889,Lockdown
112,Sri Lanka,2020-05-13,26,915,Lockdown
113,Sri Lanka,2020-05-14,10,925,Lockdown
114,Sri Lanka,2020-05-15,10,935,Lockdown
115,Sri Lanka,2020-05-16,25,960,Lockdown
116,Sri Lanka,2020-05-17,21,981,Lockdown
117,Sri Lanka,2020-05-18,11,992,Lockdown
118,Sri Lanka,2020-05-19,35,1027,Lockdown
119,Sri Lanka,2020-05-20,1,1028,Lockdown
120,Sri Lanka,2020-05-21,27,1055,Lockdown
121,Sri Lanka,2020-05-22,13,1068,Lockdown
122,Sri Lanka,2020-05-23,21,1089,Lockdown
123,Sri Lanka,2020-05-24,52,1141,Lockdown
124,Sri Lanka,2020-05-25,41,1182,Lockdown
125,Sri Lanka,2020-05-26,137,1319,Lockdown
126,Sri Lanka,2020-05-27,150,1469,Lockdown
127,Sri Lanka,2020-05-28,61,1530,Lockdown
128,Sri Lanka,2020-05-29,28,1558,Lockdown
129,Sri Lanka,2020-05-30,62,1620,Lockdown
130,Sri Lanka,2020-05-31,13,1633,Lockdown
131,Sri Lanka,2020-06-01,10,1643,Lockdown
132,Sri Lanka,2020-06-02,40,1683,Lockdown
133,Sri Lanka,2020-06-03,66,1749,Lockdown
134,Sri Lanka,2020-06-04,48,1797,Lockdown
135,Sri Lanka,2020-06-05,4,1801,Lockdown
136,Sri Lanka,2020-06-06,13,1814,Lockdown
137,Sri Lanka,2020-06-07,21,1835,Lockdown
138,Sri Lanka,2020-06-08,22,1857,Lockdown
139,Sri Lanka,2020-06-09,2,1859,Lockdown
140,Sri Lanka,2020-06-10,10,1869,Lockdown
141,Sri Lanka,2020-06-11,8,1877,Lockdown
142,Sri Lanka,2020-06-12,3,1880,Lockdown
143,Sri Lanka,2020-06-13,4,1884,Lockdown
144,Sri Lanka,2020-06-14,5,1889,Lockdown
145,Sri Lanka,2020-06-15,16,1905,Lockdown
146,Sri Lanka,2020-06-16,10,1915,Lockdown
147,Sri Lanka,2020-06-17,9,1924,Lockdown
148,Sri Lanka,2020-06-18,23,1947,Lockdown
149,Sri Lanka,2020-06-19,3,1950,Lockdown
150,Sri Lanka,2020-06-20,0,1950,Lockdown
151,Sri Lanka,2020-06-21,0,1950,Lockdown
152,Sri Lanka,2020-06-22,1,1951,During No
153,Sri Lanka,2020-06-23,40,1991,During No
154,Sri Lanka,2020-06-24,10,2001,During No
155,Sri Lanka,2020-06-25,9,2010,During No
156,Sri Lanka,2020-06-26,4,2014,During No
157,Sri Lanka,2020-06-27,19,2033,During No
158,Sri Lanka,2020-06-28,4,2037,During No
159,Sri Lanka,2020-06-29,2,2039,During No
160,Sri Lanka,2020-06-30,8,2047,During No
161,Sri Lanka,2020-07-01,7,2054,During No
162,Sri Lanka,2020-07-02,12,2066,During No
163,Sri Lanka,2020-07-03,3,2069,During No
164,Sri Lanka,2020-07-04,5,2074,During No
165,Sri Lanka,2020-07-05,2,2076,During No
166,Sri Lanka,2020-07-06,1,2077,During No
167,Sri Lanka,2020-07-07,4,2081,During No
168,Sri Lanka,2020-07-08,13,2094,During No
169,Sri Lanka,2020-07-09,60,2154,During No
170,Sri Lanka,2020-07-10,300,2454,During No
171,Sri Lanka,2020-07-11,57,2511,During No
172,Sri Lanka,2020-07-12,106,2617,During No
173,Sri Lanka,2020-07-13,29,2646,During No
174,Sri Lanka,2020-07-14,19,2665,During No
175,Sri Lanka,2020-07-15,6,2671,During No
176,Sri Lanka,2020-07-16,16,2687,During No
177,Sri Lanka,2020-07-17,10,2697,During No
178,Sri Lanka,2020-07-18,6,2703,During No
179,Sri Lanka,2020-07-19,21,2724,During No
180,Sri Lanka,2020-07-20,6,2730,During No
181,Sri Lanka,2020-07-21,0,2730,During No
182,Sri Lanka,2020-07-22,22,2752,During No
183,Sri Lanka,2020-07-23,1,2753,During No
184,Sri Lanka,2020-07-24,11,2764,During No
185,Sri Lanka,2020-07-25,6,2770,During No
186,Sri Lanka,2020-07-26,12,2782,During No
187,Sri Lanka,2020-07-27,23,2805,During No
188,Sri Lanka,2020-07-28,5,2810,During No
189,Sri Lanka,2020-07-29,0,2810,During No
190,Sri Lanka,2020-07-30,4,2814,During No
191,Sri Lanka,2020-07-31,1,2815,During No
192,Sri Lanka,2020-08-01,0,2815,During No
193,Sri Lanka,2020-08-02,8,2823,During No
194,Sri Lanka,2020-08-03,5,2828,During No
195,Sri Lanka,2020-08-04,6,2834,During No
196,Sri Lanka,2020-08-05,5,2839,During No
197,Sri Lanka,2020-08-06,0,2839,During No
198,Sri Lanka,2020-08-07,0,2839,During No
199,Sri Lanka,2020-08-08,2,2841,During No
200,Sri Lanka,2020-08-09,3,2844,During No
201,Sri Lanka,2020-08-10,27,2871,During No
202,Sri Lanka,2020-08-11,9,2880,During No
203,Sri Lanka,2020-08-12,1,2881,During No
204,Sri Lanka,2020-08-13,1,2882,During No
205,Sri Lanka,2020-08-14,4,2886,During No
206,Sri Lanka,2020-08-15,4,2890,During No
207,Sri Lanka,2020-08-16,3,2893,During No
208,Sri Lanka,2020-08-17,7,2900,During No
209,Sri Lanka,2020-08-18,2,2902,During No
210,Sri Lanka,2020-08-19,0,2902,During No
211,Sri Lanka,2020-08-20,16,2918,During No
212,Sri Lanka,2020-08-21,23,2941,During No
213,Sri Lanka,2020-08-22,6,2947,During No
214,Sri Lanka,2020-08-23,6,2953,During No
215,Sri Lanka,2020-08-24,6,2959,During No
216,Sri Lanka,2020-08-25,12,2971,During No
217,Sri Lanka,2020-08-26,13,2984,During No
218,Sri Lanka,2020-08-27,2,2986,During No
219,Sri Lanka,2020-08-28,3,2989,During No
220,Sri Lanka,2020-08-29,6,2995,During No
221,Sri Lanka,2020-08-30,17,3012,During No
222,Sri Lanka,2020-08-31,37,3049,During No
223,Sri Lanka,2020-09-01,43,3092,During No
224,Sri Lanka,2020-09-02,9,3101,During No
225,Sri Lanka,2020-09-03,10,3111,During No
226,Sri Lanka,2020-09-04,4,3115,During No
227,Sri Lanka,2020-09-05,6,3121,During No
228,Sri Lanka,2020-09-06,2,3123,During No
229,Sri Lanka,2020-09-07,0,3123,During No
230,Sri Lanka,2020-09-08,17,3140,During No
231,Sri Lanka,2020-09-09,7,3147,During No
232,Sri Lanka,2020-09-10,8,3155,During No
233,Sri Lanka,2020-09-11,14,3169,During No
234,Sri Lanka,2020-09-12,26,3195,During No
235,Sri Lanka,2020-09-13,39,3234,During No
236,Sri Lanka,2020-09-14,28,3262,During No
237,Sri Lanka,2020-09-15,9,3271,During No
238,Sri Lanka,2020-09-16,0,3271,During No
239,Sri Lanka,2020-09-17,5,3276,During No
240,Sri Lanka,2020-09-18,5,3281,During No
241,Sri Lanka,2020-09-19,2,3283,During No
242,Sri Lanka,2020-09-20,4,3287,During No
243,Sri Lanka,2020-09-21,12,3299,During No
244,Sri Lanka,2020-09-22,14,3313,During No
245,Sri Lanka,2020-09-23,11,3324,During No
246,Sri Lanka,2020-09-24,9,3333,During No
247,Sri Lanka,2020-09-25,12,3345,During No
248,Sri Lanka,2020-09-26,4,3349,During No
249,Sri Lanka,2020-09-27,11,3360,During No
250,Sri Lanka,2020-09-28,3,3363,During No
251,Sri Lanka,2020-09-29,11,3374,During No
252,Sri Lanka,2020-09-30,6,3380,During No
253,Sri Lanka,2020-10-01,2,3382,During No
254,Sri Lanka,2020-10-02,6,3388,During No
255,Sri Lanka,2020-10-03,7,3395,During No
256,Sri Lanka,2020-10-04,7,3402,Lockdown
257,Sri Lanka,2020-10-05,111,3513,Lockdown
258,Sri Lanka,2020-10-06,739,4252,Lockdown
259,Sri Lanka,2020-10-07,207,4459,Lockdown
260,Sri Lanka,2020-10-08,29,4488,Lockdown
261,Sri Lanka,2020-10-09,35,4523,Lockdown
262,Sri Lanka,2020-10-10,105,4628,Lockdown
263,Sri Lanka,2020-10-11,124,4752,Lockdown
264,Sri Lanka,2020-10-12,92,4844,Lockdown
265,Sri Lanka,2020-10-13,194,5038,Lockdown
266,Sri Lanka,2020-10-14,132,5170,Lockdown
267,Sri Lanka,2020-10-15,74,5244,Lockdown
268,Sri Lanka,2020-10-16,110,5354,Lockdown
269,Sri Lanka,2020-10-17,121,5475,Lockdown
270,Sri Lanka,2020-10-18,63,5538,Lockdown
271,Sri Lanka,2020-10-19,87,5625,Lockdown
272,Sri Lanka,2020-10-20,186,5811,Lockdown
273,Sri Lanka,2020-10-21,167,5978,Lockdown
274,Sri Lanka,2020-10-22,309,6287,Lockdown
275,Sri Lanka,2020-10-23,866,7153,Lockdown
276,Sri Lanka,2020-10-24,368,7521,Lockdown
277,Sri Lanka,2020-10-25,351,7872,Lockdown
278,Sri Lanka,2020-10-26,541,8413,Lockdown
279,Sri Lanka,2020-10-27,457,8870,Lockdown
280,Sri Lanka,2020-10-28,335,9205,Lockdown
281,Sri Lanka,2020-10-29,586,9791,Lockdown
282,Sri Lanka,2020-10-30,633,10424,Lockdown
283,Sri Lanka,2020-10-31,239,10663,During No
284,Sri Lanka,2020-11-01,397,11060,During No
285,Sri Lanka,2020-11-02,275,11335,During No
286,Sri Lanka,2020-11-03,409,11744,During No
287,Sri Lanka,2020-11-04,443,12187,During No
288,Sri Lanka,2020-11-05,383,12570,During No
289,Sri Lanka,2020-11-06,400,12970,During No
290,Sri Lanka,2020-11-07,449,13419,During No
291,Sri Lanka,2020-11-08,510,13929,During No
292,Sri Lanka,2020-11-09,356,14285,During No
293,Sri Lanka,2020-11-10,430,14715,During No
294,Sri Lanka,2020-11-11,635,15350,During No
295,Sri Lanka,2020-11-12,373,15723,During No
296,Sri Lanka,2020-11-13,468,16191,During No
297,Sri Lanka,2020-11-14,392,16583,During No
298,Sri Lanka,2020-11-15,704,17287,During No
299,Sri Lanka,2020-11-16,387,17674,During No
300,Sri Lanka,2020-11-17,401,18075,During No
301,Sri Lanka,2020-11-18,327,18402,During No
302,Sri Lanka,2020-11-19,439,18841,During No
303,Sri Lanka,2020-11-20,439,19280,During No
304,Sri Lanka,2020-11-21,491,19771,During No
305,Sri Lanka,2020-11-22,400,20171,During No
306,Sri Lanka,2020-11-23,337,20508,During No
307,Sri Lanka,2020-11-24,459,20967,During No
308,Sri Lanka,2020-11-25,502,21469,During No
309,Sri Lanka,2020-11-26,559,22028,During No
310,Sri Lanka,2020-11-27,473,22501,During No
311,Sri Lanka,2020-11-28,487,22988,During No
312,Sri Lanka,2020-11-29,496,23484,During No
313,Sri Lanka,2020-11-30,503,23987,During No
314,Sri Lanka,2020-12-01,545,24532,During No
315,Sri Lanka,2020-12-02,878,25410,During No
316,Sri Lanka,2020-12-03,628,26038,During No
317,Sri Lanka,2020-12-04,521,26559,During No
318,Sri Lanka,2020-12-05,669,27228,During No
319,Sri Lanka,2020-12-06,649,27877,During No
320,Sri Lanka,2020-12-07,703,28580,During No
321,Sri Lanka,2020-12-08,798,29378,During No
322,Sri Lanka,2020-12-09,694,30072,During No
323,Sri Lanka,2020-12-10,541,30613,During No
324,Sri Lanka,2020-12-11,762,31375,During No
325,Sri Lanka,2020-12-12,760,32135,During No
326,Sri Lanka,2020-12-13,655,32790,During No
327,Sri Lanka,2020-12-14,688,33478,During No
328,Sri Lanka,2020-12-15,643,34121,During No
329,Sri Lanka,2020-12-16,616,34737,During No
330,Sri Lanka,2020-12-17,650,35387,During No
331,Sri Lanka,2020-12-18,662,36049,During No
332,Sri Lanka,2020-12-19,618,36667,During No
333,Sri Lanka,2020-12-20,594,37261,During No
334,Sri Lanka,2020-12-21,370,37631,During No
335,Sri Lanka,2020-12-22,428,38059,During No
336,Sri Lanka,2020-12-23,580,38639,During No
337,Sri Lanka,2020-12-24,592,39231,During No
338,Sri Lanka,2020-12-25,551,39782,During No
339,Sri Lanka,2020-12-26,598,40380,During No
340,Sri Lanka,2020-12-27,674,41054,During No
341,Sri Lanka,2020-12-28,549,41603,During No
342,Sri Lanka,2020-12-29,453,42056,During No
343,Sri Lanka,2020-12-30,646,42702,During No
344,Sri Lanka,2020-12-31,597,43299,During No
345,Sri Lanka,2021-01-01,557,43856,During No
346,Sri Lanka,2021-01-02,515,44371,During No
347,Sri Lanka,2021-01-03,403,44774,During No
348,Sri Lanka,2021-01-04,468,45242,During No
349,Sri Lanka,2021-01-05,484,45726,During No
350,Sri Lanka,2021-01-06,522,46248,During No
351,Sri Lanka,2021-01-07,532,46780,During No
352,Sri Lanka,2021-01-08,525,47305,During No
353,Sri Lanka,2021-01-09,535,47840,During No
354,Sri Lanka,2021-01-10,540,48380,During No
355,Sri Lanka,2021-01-11,569,48949,During No
356,Sri Lanka,2021-01-12,588,49537,During No
357,Sri Lanka,2021-01-13,692,50229,During No
358,Sri Lanka,2021-01-14,670,50899,During No
359,Sri Lanka,2021-01-15,695,51594,During No
360,Sri Lanka,2021-01-16,719,52313,During No
361,Sri Lanka,2021-01-17,749,53062,During No
362,Sri Lanka,2021-01-18,688,53750,During No
363,Sri Lanka,2021-01-19,669,54419,During No
364,Sri Lanka,2021-01-20,770,55189,During No
365,Sri Lanka,2021-01-21,887,56076,During No
366,Sri Lanka,2021-01-22,787,56863,During No
367,Sri Lanka,2021-01-23,724,57587,During No
368,Sri Lanka,2021-01-24,843,58430,During No
369,Sri Lanka,2021-01-25,737,59167,During No
370,Sri Lanka,2021-01-26,755,59922,During No
371,Sri Lanka,2021-01-27,772,60694,During No
372,Sri Lanka,2021-01-28,892,61586,During No
373,Sri Lanka,2021-01-29,859,62445,During No
374,Sri Lanka,2021-01-30,848,63293,During No
375,Sri Lanka,2021-01-31,864,64157,During No
376,Sri Lanka,2021-02-01,826,64983,During No
377,Sri Lanka,2021-02-02,715,65698,During No
378,Sri Lanka,2021-02-03,711,66409,During No
379,Sri Lanka,2021-02-04,706,67115,During No
380,Sri Lanka,2021-02-05,735,67850,During No
381,Sri Lanka,2021-02-06,726,68576,During No
382,Sri Lanka,2021-02-07,772,69348,During No
383,Sri Lanka,2021-02-08,887,70235,During No
384,Sri Lanka,2021-02-09,976,71211,During No
385,Sri Lanka,2021-02-10,963,72174,During No
386,Sri Lanka,2021-02-11,942,73116,During No
387,Sri Lanka,2021-02-12,940,74056,During No
388,Sri Lanka,2021-02-13,796,74852,During No
389,Sri Lanka,2021-02-14,802,75654,During No
390,Sri Lanka,2021-02-15,774,76428,During No
391,Sri Lanka,2021-02-16,756,77184,During No
392,Sri Lanka,2021-02-17,722,77906,During No
393,Sri Lanka,2021-02-18,514,78420,During No
394,Sri Lanka,2021-02-19,517,78937,During No
395,Sri Lanka,2021-02-20,543,79480,During No
396,Sri Lanka,2021-02-21,519,79999,During No
397,Sri Lanka,2021-02-22,518,80517,During No
398,Sri Lanka,2021-02-23,492,81009,During No
399,Sri Lanka,2021-02-24,458,81467,During No
400,Sri Lanka,2021-02-25,466,81933,During No
401,Sri Lanka,2021-02-26,497,82430,During No
402,Sri Lanka,2021-02-27,460,82890,During No
403,Sri Lanka,2021-02-28,204,83094,During No
404,Sri Lanka,2021-03-01,458,83552,During No
405,Sri Lanka,2021-03-02,318,83870,During No
406,Sri Lanka,2021-03-03,356,84226,During No
407,Sri Lanka,2021-03-04,384,84610,During No
408,Sri Lanka,2021-03-05,350,84960,During No
409,Sri Lanka,2021-03-06,190,85150,During No
410,Sri Lanka,2021-03-07,545,85695,During No
411,Sri Lanka,2021-03-08,344,86039,During No
412,Sri Lanka,2021-03-09,304,86343,During No
413,Sri Lanka,2021-03-10,342,86685,During No
414,Sri Lanka,2021-03-11,304,86989,During No
415,Sri Lanka,2021-03-12,297,87286,During No
416,Sri Lanka,2021-03-13,314,87600,During No
417,Sri Lanka,2021-03-14,307,87907,During No
418,Sri Lanka,2021-03-15,331,88238,During No
419,Sri Lanka,2021-03-16,154,88392,During No
420,Sri Lanka,2021-03-17,470,88862,During No
421,Sri Lanka,2021-03-18,162,89024,During No
422,Sri Lanka,2021-03-19,473,89497,During No
423,Sri Lanka,2021-03-20,158,89655,During No
424,Sri Lanka,2021-03-21,545,90200,During No
425,Sri Lanka,2021-03-22,314,90514,During No
426,Sri Lanka,2021-03-23,251,90765,During No
427,Sri Lanka,2021-03-24,253,91018,During No
428,Sri Lanka,2021-03-25,271,91289,During No
429,Sri Lanka,2021-03-26,272,91561,During No
430,Sri Lanka,2021-03-27,278,91839,During No
431,Sri Lanka,2021-03-28,249,92088,During No
432,Sri Lanka,2021-03-29,215,92303,During No
433,Sri Lanka,2021-03-30,139,92442,During No
434,Sri Lanka,2021-03-31,264,92706,During No
435,Sri Lanka,2021-04-01,211,92917,During No
436,Sri Lanka,2021-04-02,211,93128,During No
437,Sri Lanka,2021-04-03,167,93295,During No
438,Sri Lanka,2021-04-04,141,93436,During No
439,Sri Lanka,2021-04-05,159,93595,During No
440,Sri Lanka,2021-04-06,95,93690,During No
441,Sri Lanka,2021-04-07,220,93910,During No
442,Sri Lanka,2021-04-08,343,94253,During No
443,Sri Lanka,2021-04-09,311,94564,During No
444,Sri Lanka,2021-04-10,284,94848,During No
445,Sri Lanka,2021-04-11,283,95131,During No
446,Sri Lanka,2021-04-12,263,95394,During No
447,Sri Lanka,2021-04-13,226,95620,During No
448,Sri Lanka,2021-04-14,99,95719,During No
449,Sri Lanka,2021-04-15,230,95949,During No
450,Sri Lanka,2021-04-16,237,96186,During No
451,Sri Lanka,2021-04-17,168,96354,During No
452,Sri Lanka,2021-04-18,442,96796,During No
453,Sri Lanka,2021-04-19,309,97105,During No
454,Sri Lanka,2021-04-20,367,97472,During No
455,Sri Lanka,2021-04-21,578,98050,During No
456,Sri Lanka,2021-04-22,672,98722,During No
457,Sri Lanka,2021-04-23,796,99518,During No
458,Sri Lanka,2021-04-24,1068,100586,During No
459,Sri Lanka,2021-04-25,793,101379,During No
460,Sri Lanka,2021-04-26,997,102376,During No
461,Sri Lanka,2021-04-27,1111,103487,During No
462,Sri Lanka,2021-04-28,1466,104953,During No
463,Sri Lanka,2021-04-29,1531,106484,During No
464,Sri Lanka,2021-04-30,1662,108146,During No
465,Sri Lanka,2021-05-01,1716,109862,Lockdown
466,Sri Lanka,2021-05-02,1891,111753,Lockdown
467,Sri Lanka,2021-05-03,1923,113676,Lockdown
468,Sri Lanka,2021-05-04,1914,115590,Lockdown
469,Sri Lanka,2021-05-05,1939,117529,Lockdown
470,Sri Lanka,2021-05-06,1895,119424,Lockdown
471,Sri Lanka,2021-05-07,1914,121338,Lockdown
472,Sri Lanka,2021-05-08,1896,123234,Lockdown
473,Sri Lanka,2021-05-09,2672,125906,Lockdown
474,Sri Lanka,2021-05-10,2624,128530,Lockdown
475,Sri Lanka,2021-05-11,2568,131098,Lockdown
476,Sri Lanka,2021-05-12,2429,133527,Lockdown
477,Sri Lanka,2021-05-13,2269,135796,Lockdown
478,Sri Lanka,2021-05-14,2289,138085,Lockdown
479,Sri Lanka,2021-05-15,2386,140471,Lockdown
480,Sri Lanka,2021-05-16,2275,142746,Lockdown
481,Sri Lanka,2021-05-17,2456,145202,Lockdown
482,Sri Lanka,2021-05-18,2518,147720,Lockdown
483,Sri Lanka,2021-05-19,3623,151343,Lockdown
484,Sri Lanka,2021-05-20,3443,154786,Lockdown
485,Sri Lanka,2021-05-21,3547,158333,Lockdown
486,Sri Lanka,2021-05-22,2909,161242,Lockdown
487,Sri Lanka,2021-05-23,2959,164201,Lockdown
488,Sri Lanka,2021-05-24,2971,167172,Lockdown
489,Sri Lanka,2021-05-25,2728,169900,Lockdown
490,Sri Lanka,2021-05-26,2377,172277,Lockdown
491,Sri Lanka,2021-05-27,2584,174861,Lockdown
492,Sri Lanka,2021-05-28,2850,177711,Lockdown
493,Sri Lanka,2021-05-29,2882,180593,Lockdown
494,Sri Lanka,2021-05-30,2859,183452,Lockdown
495,Sri Lanka,2021-05-31,2912,186364,Lockdown
496,Sri Lanka,2021-06-01,2877,189241,Lockdown
497,Sri Lanka,2021-06-02,3306,192547,Lockdown
498,Sri Lanka,2021-06-03,3297,195844,Lockdown
499,Sri Lanka,2021-06-04,3410,199254,Lockdown
500,Sri Lanka,2021-06-05,3103,202357,Lockdown
501,Sri Lanka,2021-06-06,2976,205333,Lockdown
502,Sri Lanka,2021-06-07,2646,207979,Lockdown
503,Sri Lanka,2021-06-08,2682,210661,Lockdown
504,Sri Lanka,2021-06-09,2735,213396,Lockdown
505,Sri Lanka,2021-06-10,2738,216134,Lockdown
506,Sri Lanka,2021-06-11,2232,218366,Lockdown
507,Sri Lanka,2021-06-12,2911,221277,Lockdown
508,Sri Lanka,2021-06-13,2361,223638,Lockdown
509,Sri Lanka,2021-06-14,2284,225922,Lockdown
510,Sri Lanka,2021-06-15,2334,228256,Lockdown
511,Sri Lanka,2021-06-16,2436,230692,Lockdown
512,Sri Lanka,2021-06-17,2372,233064,Lockdown
513,Sri Lanka,2021-06-18,2349,235413,Lockdown
514,Sri Lanka,2021-06-19,2248,237661,Lockdown
515,Sri Lanka,2021-06-20,2028,239689,Lockdown
516,Sri Lanka,2021-06-21,2131,241820,Lockdown
517,Sri Lanka,2021-06-22,2093,243913,Lockdown
518,Sri Lanka,2021-06-23,2196,246109,Lockdown
519,Sri Lanka,2021-06-24,1941,248050,Lockdown
520,Sri Lanka,2021-06-25,1876,249926,Lockdown
521,Sri Lanka,2021-06-26,1825,251751,Lockdown
522,Sri Lanka,2021-06-27,1867,253618,Lockdown
523,Sri Lanka,2021-06-28,1890,255508,Lockdown
524,Sri Lanka,2021-06-29,1717,257225,Lockdown
525,Sri Lanka,2021-06-30,1864,259089,Lockdown
526,Sri Lanka,2021-07-01,1883,260972,Lockdown
527,Sri Lanka,2021-07-02,1823,262795,Lockdown
528,Sri Lanka,2021-07-03,1262,264057,Lockdown
529,Sri Lanka,2021-07-04,1573,265630,Lockdown
530,Sri Lanka,2021-07-05,869,266499,Lockdown
531,Sri Lanka,2021-07-06,934,267433,Lockdown
532,Sri Lanka,2021-07-07,1243,268676,Lockdown
533,Sri Lanka,2021-07-08,1270,269946,Lockdown
534,Sri Lanka,2021-07-09,1537,271483,Lockdown
535,Sri Lanka,2021-07-10,1548,273031,Lockdown
536,Sri Lanka,2021-07-11,1507,274538,Lockdown
