HCHO reading,Location,Current Date,Next Date
,Colombo Proper,2019-06-05,2019-06-06
,Colombo Proper,2019-06-06,2019-06-07
,Colombo Proper,2019-06-07,2019-06-08
0.0001221799295052,Colombo Proper,2019-06-08,2019-06-09
0.0001843041391111,Colombo Proper,2019-06-09,2019-06-10
,Colombo Proper,2019-06-10,2019-06-11
8.17687223806277e-05,Colombo Proper,2019-06-11,2019-06-12
0.0001880614290712,Colombo Proper,2019-06-12,2019-06-13
2.3285886143280304e-05,Colombo Proper,2019-06-13,2019-06-14
8.209911205126233e-05,Colombo Proper,2019-06-14,2019-06-15
0.0001636562089987,Colombo Proper,2019-06-15,2019-06-16
,Colombo Proper,2019-06-16,2019-06-17
0.0001534455988928,Colombo Proper,2019-06-17,2019-06-18
0.000158330813573,Colombo Proper,2019-06-18,2019-06-19
0.0001450758394609,Colombo Proper,2019-06-19,2019-06-20
,Colombo Proper,2019-06-20,2019-06-21
,Colombo Proper,2019-06-21,2019-06-22
0.0001403497627398,Colombo Proper,2019-06-22,2019-06-23
1.9792269443138506e-05,Colombo Proper,2019-06-23,2019-06-24
0.0002885739086195,Colombo Proper,2019-06-24,2019-06-25
0.0001698958410235,Colombo Proper,2019-06-25,2019-06-26
-1.718882776913233e-05,Colombo Proper,2019-06-26,2019-06-27
0.0001242156863718,Colombo Proper,2019-06-27,2019-06-28
8.171133330754701e-05,Colombo Proper,2019-06-28,2019-06-29
7.340520263976472e-05,Colombo Proper,2019-06-29,2019-06-30
2.0964513707570187e-05,Colombo Proper,2019-06-30,2019-07-01
8.969739342465703e-05,Colombo Proper,2019-07-01,2019-07-02
8.080856806689084e-05,Colombo Proper,2019-07-02,2019-07-03
2.889810298407616e-05,Colombo Proper,2019-07-03,2019-07-04
8.317285235618187e-05,Colombo Proper,2019-07-04,2019-07-05
9.39126919104318e-05,Colombo Proper,2019-07-05,2019-07-06
9.547040684925105e-06,Colombo Proper,2019-07-06,2019-07-07
9.452725531817138e-07,Colombo Proper,2019-07-07,2019-07-08
0.0001606779140439,Colombo Proper,2019-07-08,2019-07-09
,Colombo Proper,2019-07-09,2019-07-10
5.047959159020286e-05,Colombo Proper,2019-07-10,2019-07-11
6.685329661024943e-05,Colombo Proper,2019-07-11,2019-07-12
0.0001352754338604,Colombo Proper,2019-07-12,2019-07-13
,Colombo Proper,2019-07-13,2019-07-14
,Colombo Proper,2019-07-14,2019-07-15
,Colombo Proper,2019-07-15,2019-07-16
9.32507996651824e-05,Colombo Proper,2019-07-16,2019-07-17
,Colombo Proper,2019-07-17,2019-07-18
,Colombo Proper,2019-07-18,2019-07-19
,Colombo Proper,2019-07-19,2019-07-20
9.77121531808704e-05,Colombo Proper,2019-07-20,2019-07-21
0.0001328017366567,Colombo Proper,2019-07-21,2019-07-22
,Colombo Proper,2019-07-22,2019-07-23
-1.0360142278733146e-05,Colombo Proper,2019-07-23,2019-07-24
5.20387301457421e-05,Colombo Proper,2019-07-24,2019-07-25
0.0001644546205319,Colombo Proper,2019-07-25,2019-07-26
0.0001707607001308,Colombo Proper,2019-07-26,2019-07-27
0.0001185044673927,Colombo Proper,2019-07-27,2019-07-28
0.0001041769215942,Colombo Proper,2019-07-28,2019-07-29
0.0001754362061189,Colombo Proper,2019-07-29,2019-07-30
4.6955253049504447e-05,Colombo Proper,2019-07-30,2019-07-31
9.259486707748456e-05,Colombo Proper,2019-07-31,2019-08-01
4.458029389653336e-05,Colombo Proper,2019-08-01,2019-08-02
,Colombo Proper,2019-08-02,2019-08-03
6.93505158442184e-05,Colombo Proper,2019-08-03,2019-08-04
-2.350630165773713e-05,Colombo Proper,2019-08-04,2019-08-05
4.396326486663663e-06,Colombo Proper,2019-08-05,2019-08-06
5.951792946298224e-05,Colombo Proper,2019-08-06,2019-08-07
0.0002358972517484,Colombo Proper,2019-08-07,2019-08-08
,Colombo Proper,2019-08-08,2019-08-09
-3.753132753502911e-05,Colombo Proper,2019-08-09,2019-08-10
,Colombo Proper,2019-08-10,2019-08-11
0.0001621829232794,Colombo Proper,2019-08-11,2019-08-12
,Colombo Proper,2019-08-12,2019-08-13
,Colombo Proper,2019-08-13,2019-08-14
5.860973694382833e-05,Colombo Proper,2019-08-14,2019-08-15
0.0001350586133809,Colombo Proper,2019-08-15,2019-08-16
,Colombo Proper,2019-08-16,2019-08-17
0.0001685731549514,Colombo Proper,2019-08-17,2019-08-18
3.706723761402327e-05,Colombo Proper,2019-08-18,2019-08-19
8.584961620742005e-05,Colombo Proper,2019-08-19,2019-08-20
8.793838791530453e-05,Colombo Proper,2019-08-20,2019-08-21
8.479952216441172e-05,Colombo Proper,2019-08-21,2019-08-22
,Colombo Proper,2019-08-22,2019-08-23
,Colombo Proper,2019-08-23,2019-08-24
0.0001512307072603,Colombo Proper,2019-08-24,2019-08-25
2.8320877798642062e-05,Colombo Proper,2019-08-25,2019-08-26
,Colombo Proper,2019-08-26,2019-08-27
,Colombo Proper,2019-08-27,2019-08-28
0.000189373458852,Colombo Proper,2019-08-28,2019-08-29
0.0003315822687,Colombo Proper,2019-08-29,2019-08-30
-0.0002291025921753,Colombo Proper,2019-08-30,2019-08-31
4.148157993699298e-05,Colombo Proper,2019-08-31,2019-09-01
1.1819308958476046e-05,Colombo Proper,2019-09-01,2019-09-02
0.0001254869544792,Colombo Proper,2019-09-02,2019-09-03
2.2278653994414338e-05,Colombo Proper,2019-09-03,2019-09-04
6.601078846206005e-05,Colombo Proper,2019-09-04,2019-09-05
6.189868745003109e-05,Colombo Proper,2019-09-05,2019-09-06
6.96768756388925e-06,Colombo Proper,2019-09-06,2019-09-07
0.0001425282227641,Colombo Proper,2019-09-07,2019-09-08
0.0001051981676809,Colombo Proper,2019-09-08,2019-09-09
7.796198665621607e-05,Colombo Proper,2019-09-09,2019-09-10
0.0001706459092882,Colombo Proper,2019-09-10,2019-09-11
,Colombo Proper,2019-09-11,2019-09-12
,Colombo Proper,2019-09-12,2019-09-13
,Colombo Proper,2019-09-13,2019-09-14
-2.7079145498339e-05,Colombo Proper,2019-09-14,2019-09-15
-0.0001084998075384,Colombo Proper,2019-09-15,2019-09-16
,Colombo Proper,2019-09-16,2019-09-17
7.293194215549228e-05,Colombo Proper,2019-09-17,2019-09-18
0.0001224324055217,Colombo Proper,2019-09-18,2019-09-19
,Colombo Proper,2019-09-19,2019-09-20
4.4304662755935576e-05,Colombo Proper,2019-09-20,2019-09-21
6.719672168285214e-05,Colombo Proper,2019-09-21,2019-09-22
,Colombo Proper,2019-09-22,2019-09-23
,Colombo Proper,2019-09-23,2019-09-24
,Colombo Proper,2019-09-24,2019-09-25
,Colombo Proper,2019-09-25,2019-09-26
0.000358217745088,Colombo Proper,2019-09-26,2019-09-27
0.0001222516306589,Colombo Proper,2019-09-27,2019-09-28
0.0002095719037861,Colombo Proper,2019-09-28,2019-09-29
0.0001578932214216,Colombo Proper,2019-09-29,2019-09-30
